,titles,category
22,"비명계 ""험지 출마는 이재명·친명 중진들부터""",Politics
23,'김행 거취' 강서구청장 보선에 달렸다?[여의도 속풀이],Politics
24,"권영세 ""강서구청장 졌잘싸 목표 아냐, 이기면 지도부 탄력…중진 수도권行 글쎄""",Politics
25,"오늘밤 11시, 강서구가 김기현·이재명 운명 가른다",Politics
26,"[뉴스라이브] 국정원 ""투·개표 조작 가능""...선관위 ""부정선거 가능성 아니다""",Politics
27,"[뉴스라이브] 정청래 ""하태경은 약체...한동훈 정도는 와야""",Politics
28,대패하면 비대위? 이재명‧김기현 '강서 단두대 매치',Politics
29,`패하면 끝장`…강서구청장 보선에 달린 김기현·이재명의 운명,Politics
30,"""오염수 먹어라"" 욕설에 돌까지 던져…습격 당한 국힘 시의원",Politics
31,"이용호·신평·전여옥·전원책 ""김행 사퇴·지명철회"" 여권내 목소리 줄이어",Politics
32,"김병주 ""국감 파행, 성일종 통제불능…내주 재추진"" 성일종 ""응할 생각 없다""",Politics
33,'험지행' 비판한 홍준표에 다시 반박한 하태경…'당사아생' 이란?,Politics
34,"김재원 ""수도권 차출 응한 이는 다 떨어지고 이리저리 옮긴 홍준표는 떵떵거려""",Politics
35,"천하람 ""하태경 다음으로 장제원이 서울 출마 나서주면 좋을 듯""",Politics
36,"'최고위원 사퇴' 송갑석 ""표 단속 실패, 누군가는 책임져야""",Politics
37,"송갑석 ""비명계 지역구, 원외 친명계 출마? 당에 도움 안돼""",Politics
38,[뉴스라이브] '강서구청장 보궐선거' 결과 가를 본 투표 변수는?,Politics
39,"""험지 1순위, 이재명과 친명계 다선""…민주당에 튄 하태경 불똥",Politics
40,"메리츠증권 IB 직원들, 직무 정보 이용해 수십억 챙겼다",Economic
41,"김주현 ""은행 중도상환 수수료, 합리성 있는지 살펴볼 것""",Economic
42,"최태원 회장 ""미중 갈등에 배터리 가격 상승…SK 승계 계획 마련""",Economic
43,"삼성·LG, 롤 유저 유혹하는 ‘게이밍 모니터 전쟁’ 돌입",Economic
44,3Q 선방 삼성전자…주가 모멘텀 가늠할 반도체 반등,Economic
45,車 무상수리 권유엔 의심부터…보험사기 연루 '주의보',Economic
46,"푸른기술, 국내 최초 임플란트 보조 로봇 개발에 상한가",Economic
47,"올해 보증기관이 대신 갚아준 전세금, 이미 작년 두 배 넘었다[국감브리핑]",Economic
48,중국인 조용하네? …직격탄 맞은 명품업계,Economic
49,[자막뉴스] '깻잎을 삼겹살에 싸서 먹어야 하겠다'...농담 아닙니다,Economic
50,"‘중동 전쟁’보다 ‘연준 비둘기’에 반응한 시장…장중 환율, 1338원까지 하락[외환분석]",Economic
51,"""최저임금보다 실업급여 더 많이 받는데 '편돌이' 왜 하나요?""",Economic
52,"이-팔 사태 유가급등 우려…KDI “韓 반도체 중심 경기부진 완화에도, 대외 불확실성 상존”",Economic
53,"“원팀으로 수십억 사익 챙겼다”···메리츠증권, 금감원 검사에서 적발",Economic
54,"베일 벗은 ‘구미 그랑포레 데시앙’, 1만여 명 북적…교육 특화에 환경 쾌적",Economic
55,"벌써 김장 걱정 “담아, 말아” 또 40만 원?.. 배추, 특히 소금 “너무 올랐다”",Economic
56,"삼성 모바일, 3분기도 판매 호조…'깜짝 실적'에 기여",Economic
57,"""자동차정비업체 이용시 보험사기 연루 조심하세요""",Economic
58,"""뒷거래에 갑질까지""…금감원, 증권사 CB 기획검사 결과 발표",Economic
59,'미공개 CB 정보' 이용해 수십억 챙긴 증권사 직원들,Economic
60,"경총 ""취업 의지 떨어뜨리는 구직급여···하한액 폐지해야""",Economic
61,"""200억 빌려주고 73억 떼 가""... 천장 없는 부동산 브리지론 도마",Economic
62,"현직 증권사 IB 임직원, 직무정보 이용해 수십억 원 사익 챙겨",Economic
63,"""최저임금보다 더 받는 구직급여…실직자 재취업 의지 꺾어""",Economic
64,"'무늬만 자금조달'…금감원, 메리츠 불건전영업행위 포착",Economic
65,"금감원 “A 증권사 임직원, 전환사채 발행 중개하며 사익 추구…수십억 대 이득”",Economic
66,"KDI ""경기 부진 점진적 완화…대외 불확실성 상존""",Economic
67,"""놀면서 일하는 사람보다 더 받는 실업급여 제도, 뜯어고쳐야""",Economic
68,"[단독] 대학병원 의사 고백...""보험회사로부터 유리한 진단 협박""",Economic
69,"금감원, 사모CB 많은 증권사 뜯어보니 '불건전 영업행위' 우수수",Economic
70,이자 5009%? …아직도 이런 살인 이자율이,Economic
71,"경총 ""실업급여 제도, 실업자 취업 의지 떨어뜨려…합리화 시급""",Economic
72,"""자동차보험 접수하면 공짜로 수리?... 보험사기입니다""",Economic
73,서울 상업용 부동산 대형거래 '실종'…꼬마빌딩만 강세,Economic
74,우대 금리로 저축·대출 지원…'경기청년 기회사다리통장' 출시,Economic
75,"김주현 금융위원장 ""시중은행 50년 만기 주담대, 상식에 맞지 않아""",Economic
76,"이·팔 전쟁에도 국내외 증시 상승, 왜? 미 Fed 긴축 완화 기대감 커져",Economic
77,"대출 가산금리 손봤는데 기대출엔 미적용… 김주현 ""소급은 논란 있다""",Economic
78,계양구 첫 `두산위브더제니스`…`두산위브더제니스 센트럴 계양` 10월 분양,Economic
79,"미 국채·유가 하락…아틀랜타 연은 총재 ""금리인상 없다""",Economic
80,"후임에게 '겨털' 먹인 해병대 예비역, 500만원 벌금형",Social
81,"故 이영승 교사, 사망 직전까지 ‘제3의 학부모 민원’에 시달렸다",Social
82,'대선 허위보도 의혹' 김병욱 의원 보좌관 · 기자 압수수색,Social
83,모텔서 낳은 딸을 창밖으로 던진 엄마 구속 기로,Social
84,"한강 한복판서 울려퍼진 ""日오염수 해양투기 중단하라""",Social
85,YTN 지분 매각에 소액주주운동 파열음 일으킬까,Social
86,피흘리는 아내 두고 운동하러 간 남편…유기죄 적용,Social
87,‘킁킁’ 물냄새 맡더니 남한강 복판서 실종자 찾아냈다…수난탐지견 놀라운 활약,Social
88,"""안 뜨는 비행기 많아…남은 교포 걱정"" 192명 인천 도착",Social
89,파업 첫날 경북대병원…큰 혼란 없었지만 어수선한 분위기,Social
90,"""이 목소리입니다""‥피싱범 12명 음성 공개",Social
91,강서구청장 12시 투표율 11.4%…시장 보궐선거 근접,Social
92,"'현실판 더 글로리' 표예림, 극단적선택 전 경찰조사 앞둬",Social
93,KBS 보궐이사에 이동욱 전 월간조선 기자,Social
94,"경북대·서울대병원, 무기한 파업 돌입 ""인력확충·임금인상 요구""",Social
95,"광주광역시 ""보훈부의 정율성사업 중단 권고 불수용""",Social
96,"혐오표현, 검열만큼은 안 된다…표현의 자유로 맞서야",Social
97,"변협 ""대법원장 후보 16일 공개 추천""…오석준·이종석·홍승면 포함될 듯",Social
98,“아빠 누군지 몰라”…모텔서 딸 던진 40대女 모습 드러냈다,Social
99,"무단횡단 행인 사망사고 운전자들 무죄…법원 ""과실 증명 안돼""",Social
100,김영훈 대한변협회장 “대법원장 후보자 공개추천할 것”,Social
101,"학폭 피해 폭로 유튜버 표예림씨, 극단적 선택 전 고소 당해",Social
102,"이스라엘서 192명 귀국‥""훈련인 줄 알았다""",Social
103,"일본 원전 오염수 방류에 분노한 시민..국민의힘 시의원에 “친일파 놈들아, 책임져라” 일갈",Social
104,"""표예림 죽음 내몬 장본인 있다""‥지목된 유튜버 ""잘못 전혀 없어""",Social
105,"공인받지 못한 세월호 진상규명, 언론 탓 컸다",Social
106,"수원 전세사기 삼성맨 ""2.5억 떼였는데 소득 높아 보상 없답니다""",Social
107,[강서구청장 보궐선거] ‘미니 총선’ D-DAY…이른 아침부터 한 표 행사,Social
108,출입카드 기록만으로 연장근로수당 지급하라고요?,Social
109,"서울에서 벌어진 공무집행 방해 70%은 ‘술 마시고’…강간, 살인은 30%",Social
110,'직원 명단 공개하라' 판결에 항소한 대통령실... 의심 짙어진다 [그 정보가 알고 싶다],Social
111,[단독]상주서 뺑소니 사망사고 낸 후 오리발 40대 남성 완벽한 증거 앞에 “사람인줄 몰랐다”,Social
112,무자비한 정부... '잔인한 시대'가 또 시작되었구나 [소셜 코리아],Social
113,퇴근후 휴대폰으로 산업안전교육 시청… 공식 근로시간일까,Social
114,"인권위 ""구직등록 착오 외국인 강제출국, 인권침해""",Social
115,[이시각헤드라인] 10월 11일 뉴스센터12,Social
116,"믹솔로지 열풍에 여름 한정판 카스 레몬도 200만 캔...""카스 1위 수성엔 이유가 있다"" [New & Good]",Social
117,경기도 청년 위한 ‘기회사다리통장’ 출시…저축·대출 한통장으로 해결,Social
118,"변협 ""대법원장 후보 공개 추천 재개…16일 3∼5명 발표""",Social
119,"“日 오염수 너희가 먹어라” 국힘 고양시의원, 행사 중 폭행당해",Social
120,가을 들어 푸석해진 피부…노화 막는 기본수칙 3,Culture
121,"""탈장, 자연치유 어려워…초기 신속한 대처 필요""",Culture
122,"건강한 콩 섭취, ‘태아’ 성장발달에 도움",Culture
123,"성장통 비슷한 관절염, 아이들도 걸릴 수 있습니다",Culture
124,"김장철 코앞인데…""소금이 쌀보다 비싸졌다""",Culture
125,[단독] 기초수급자도 국민연금 담보 대출길 열릴 듯,Culture
126,홍어장수 문순득의 아시아 표류기가 끼친 영향,Culture
127,불안할 때 먹으면 좋은 음식들,Culture
128,"""한달 술 안마셨더니 세포들이""…英실험결과 어떻길래?",Culture
129,"“시에 대해서만 엄격, 어머니 같았던 김남조”",Culture
130,췌장암에 꼭 관심 가져야 사람들...최악의 습관은?,Culture
131,잠들기 전 ‘간식 한 입’이 다음날 더 배고프게 만든다,Culture
132,[날씨체크] '단풍의 계절' 가을···대구 첫 단풍은 언제?,Culture
133,다친 새 발견하면 어디에 도움 요청해야 하나요 [동무물],Culture
134,"“희귀병도 서러운데”…정부, 저소득층 치료비 지원 31% 삭감",Culture
135,"혼다, ‘日 페라리’ NSX 후속모델 공개",Culture
136,"김홍신 ""용서 없으면 인류 생존 불가능…행복해지는 유일한 방법""",Culture
137,[건방진 퀴즈] “하나도 아픈데”…'사랑니' 최대 몇 개까지 가능?,Culture
138,높아도 낮아도 문제...내 몸 콜레스테롤 균형을 잡아라!,Culture
139,"""고용세습 양보 못해""…기아 노조, 12월 파업 강행",Culture
140,‘맞다고요’ 코미디언 배영만 전도사 초청 간증집회,Culture
141,"'검정고무신' 고 이우영 작가 부인 ""형설앤, 시정명령에 무대응""",Culture
142,"""지금 사야 싸다""…막 오른 스키시즌권 경쟁",Culture
143,"“벤츠보다 4000만원 싸네”…‘450만원↑’ 제네시스 GV80, 6930만원",Culture
144,서울대병원 노조 파업 돌입…“8시간 병동 지켰으면 근무로 인정해야”,Culture
145,"""운동했으니까 먹어도 돼?""...살빼기 말짱 꽝!",Culture
146,[약손+] 폐암의 진단과 치료 ⑮진단 방법과 치료 과정,Culture
147,쌀쌀한 날씨 지속…구름 많고 일교차 커,Culture
148,한 그릇 뚝딱 비운다! 기분 좋게 매운맛 살린 덮밥 [쿠킹],Culture
149,[930 날씨] 오늘 대체로 맑고 기온 일교차 커요,Culture
150,제네시스 GV80 부분변경·쿠페 판매 개시…쿠페 8255만원부터,Culture
151,"""수입차 안 부럽네""…럭셔리한 외모로 돌아온 제네시스 GV80",Culture
152,10초만 읽어도 혈당 안심되는 '밀당365' 앱,Culture
153,"선호사양 채운 XM3 인스파이어, 소형 SUV 경쟁모델 비교해보니…",Culture
154,당뇨병 인구 2000만 시대… 검증된 정보만 모았다,Culture
155,"“쿠페 8255만원부터”…제네시스, 새 GV80·GV80 쿠페 판매 개시",Culture
156,"[날씨] 낮들어 기온 껑충, 큰 일교차 유의…전국 하늘 쾌청",Culture
157,"[인터뷰] 비만학회 ""똑같이 먹어도 나만 살 찌는 이유""",Culture
158,"젊어진 당뇨병, 오래 앓아 더 문제… ""연속적인 혈당 관리 지원 절실""",Culture
159,"기아 노조, 내일부터 파업한다… '정년' 늘리고 '고용 세습' 유지 요구",Culture
160,16년 전 퇴직자까지 찾아내 ‘철퇴’… 반부패 의지 다잡는 시진핑,World
161,"美안보보좌관 ""모든 긴장고조 시나리오 대비 비상계획 수립""",World
162,"""하마스, 암호화폐로 수천만달러 자금 조성 정황""[이-팔 전쟁]",World
163,"중동 화약고 또 시한폭탄되나…바이든 ""악"" vs시아파 ""개입말라""",World
164,유럽연합(EU) 경제정책 ‘삐걱’… 마크롱과 숄츠의 어색한 관계 탓?[조은아의 유로노믹스],World
165,[영상] 아이언 돔도 당했는데…北 장사정포 '벌떼 공격' 막을 수 있나,World
166,"[올댓차이나] 홍콩 증시, 中 경기부양 기대에 상승 개장…H주 1.41%↑",World
167,"이스라엘군 가자 장벽에 수만 병력·탱크 집결…""수일 내 지상작전 관측""",World
168,"이스라엘 국방 “지상전 곧 개시”… 가자인근 병력집결, 주민엔 대피령",World
169,"이스라엘, 전투기 600대 등 전력 압도… 하마스는 미사일 1만기 보유",World
170,"‘철의 검’ 이스라엘 “제약 해제, 전면 공격”…군에 백지위임장?",World
171,"임박한 이스라엘 지상군 투입, '가자 점령' 아닌 '하마스 무력화' 목표",World
172,"‘다윗’ 필리핀, 미국 뒷배 믿고 ‘골리앗’ 중국과 맞짱",World
173,"전세계서 귀국…이스라엘, 예비군 36만명 총동원",World
174,이스라엘 ‘전면적 공격’ 예고…양측 사망자 3500명 넘어,World
175,"도대체 왜?…日 곳곳서 '원인불명 쓰나미' 속출, 긴급 기자회견까지",World
176,"[스브스픽] ""대지진 전조?""…일본 잇따르는 '원인 불명' 쓰나미",World
177,'명품 싹쓸이' 하던 中 돌변하자…세계 1위 LVMH도 '휘청',World
178,"대만, 동부 전략지역에 미사일기지 신설…中우회 공격대비",World
179,"바이든 ""이스라엘에 추가 군사지원""…상황별 비상계획 수립",World
180,"파손된 핀란드-에스토니아 해저 가스관, 노르드스트림 이어 '사보타주' 무게",World
181,"""중국 연간 신생아 수 당분간 1천만명 선 유지될 듯""",World
182,"이스라엘, 이집트-가자지구 유일 통행로에 재차 공습",World
183,가자지구 지상전 임박한듯…고속도로에 탱크·헬기 집결[이·팔 전쟁],World
184,"돈줄 막히는 기업들…이·팔 전쟁, 첨단기술 산업까지 위협 [이·팔 전쟁]",World
185,묶이면 전세계 경제 '초토화'...중동 최악의 시나리오 [Y녹취록],World
186,이스라엘 ‘금기’ 백린탄 쐈나…‘불바다 영상’ 확산 [이·팔 전쟁],World
187,"104세 ‘최고령 스카이다이버’ 할머니, 등극 8일 만에 영면",World
188,"우크라전 잊혀진 전쟁 될라…젤렌스키, 연일 러시아 때리기",World
189,"커지는 미중 GDP 격차…""금세기에 미국 따라잡을 수 없을 것""",World
190,"젤렌스키 ""러, 우크라에 대한 지지 약화 위해 중동 분쟁 일으키려 해""",World
191,"'불바다 영상' 확산…이스라엘, 가자지구에 백린탄 쐈나",World
192,"'무소속 출마' 케네디, 美대선 변수로? ""6시간 만에 150억 모금""",World
193,[속보] 이스라엘의 가자지구 지상전 임박…탱크·헬기 집결,World
194,영국으로 번진 '빈대주의보'…런던 지하철·맨체스터 버스에 등장,World
195,"“이스라엘, 백린탄 사용” 주장…‘불바다 영상’ 확산",World
196,"""영영 하늘로 돌아갔다""…美 104세 할머니, '최고령 스카이다이버' 등극 8일 만에 영면",World
197,"""너무 늦은 나이란 없다""...104세 할머니, 기네스 기록 세우고 영면 [지금이뉴스]",World
198,"[이·팔 전쟁] 우크라전 잊혀진 전쟁 될라…젤렌스키, 연일 러시아 때리기",World
199,"젤렌스키 ""곧 우크라 곡물 루마니아-몰도바 통해 수출""",World
200,"가계부채 증가 질타에 발끈한 김주현…""한국은행, 서민 고민안한다""",IT
201,"경총, “구직급여 하한액 폐지해야”...실업급여 합리화",IT
202,9월도 ‘리니지M’이 매출 1위…‘세나 키우기’ 흥행도 ‘눈길’,IT
203,"[이·팔 전쟁] 구글·아마존 직원 단체 ""이스라엘과 거래 중단해야""",IT
204,오늘 75세 이상 노인부터 인플루엔자 백신 무료 접종,IT
205,"구글·MS, AI 앞세워 전격 뛰어든 이 분야...왜?",IT
206,"“네이버 사실조사, 법적 근거 없다”…윤영찬, 배중섭 국장과 공방",IT
207,"“통신 3사 자회사, 알뜰폰 시장 절반 차지”",IT
208,“무려 9천만원이나 용돈벌이?” 유명 유튜버 알고보니 ‘공무원’…이래도 돼?,IT
209,응급실 다섯군데나 뺑뺑이…소아환자 결국 심정지·호흡정지,IT
210,"[종합] 네이버 대표→실무진, 복지위 국감 증인 변경…기업인 망신주기 안 한다",IT
211,남극기지 짐싸야 하나?...내년 극지연구 예산 67% 날아갔다,IT
212,"삼성전자, 3Q 반도체 적자폭 줄였지만…감산 '고난의 행군'은 지속",IT
213,해외서 출시된 RSV 백신...국내 개발 어디까지,IT
214,"이스라엘, 하마스 가상화폐 계좌 동결",IT
215,"""조류독감 3년 내 사라질 수도""...유전자교정으로 저항성 닭 최초 탄생",IT
216,"삼성전자, 조단위 영업익 회복...하반기 기대감↑",IT
217,"“애플, iOS 업데이트로 아이폰12 전자파 낮춘다고?”",IT
218,"""카르텔 사례·R&D 삭감 자료 부실""…여야, 과기정통부 부실 제출 질타",IT
219,[어바웃 C]창업자 떠난 '적자' 라인게임즈…'판사' 출신 박성민 대표에 쏠린 눈,IT
220,[국감2023] ‘기타 치며 노래하는’ 가짜 유인촌부터 주52시간제 우회 지적까지,IT
221,"LG엔솔, 3Q 영업익 역대 최대...3개 분기만에 작년 年실적 추월",IT
222,"[국감2023] 이종호 장관 ""R&D  낡은 관행·비효율 걷어내야""",IT
223,머스크의 다이어트 비결 `위고비`…국내 언제 나오나?,IT
224,포털 다음의 좌편향 동기는 과연 무엇인가,IT
225,"이동관 “YTN 인수, 한세실업 접었다..문화일보도 가능성 적어”",IT
226,CJ올리브네트웍스는 왜 국방부를 상대로 소송할까,IT
227,"우주정거장서 또 냉각수 누출 사고…""이번이 세 번째""",IT
228,"쿠팡 ""대만 수출 중소기업, 1년 만에 1만2천곳 돌파""",IT
229,"방통위, KBS 보궐이사에 이동욱 전 월간조선 기자 추천",IT
230,"""갤Z5 진짜 고맙다""...삼성폰, 업황 부진에도 3분기 실적 '선방'",IT
231,"[속보] 복지위, 네이버 최수연 대표 증인 철회 확정",IT
232,"삼성전자, 3Q 영업익 2조4000억원…올해 첫 조 단위 영업익 달성",IT
233,깜짝실적 LG전자·반등조짐 삼성전자...'상고하저' 깼다,IT
234,"왓챠, 공정위에 ""기술 탈취 의혹 조사해달라"" 신고",IT
235,"[단독] 내년 정부 R&D 예산, 초안은 32조9000억원으로 늘리려고 했다",IT
236,윤영찬 “1500만 알뜰폰 개인정보보호 노력 강화해야”,IT
237,"삼성전자, 갤Z5로 이익 ‘껑충’...4분기 ‘가성비 신작’ 힘 보탠다",IT
238,코로나보다 더한 `재난`…3년간 4만명 스스로 목숨끊었다,IT
239,"메모리 반도체 신화, 기술개발까지 13년…""R&D 안정적 투자 결과""",IT
